year,mnlegdist,s_mnlegdist_N_below_supply,s_mnlegdist_N_above_cost,s_mnlegdist_N_below_quality
2013,41B,.99784482,.90517241,.29956895
2012,41B,.99784482,1,
2014,41B,.99784482,.92887932,.30387932
2017,41B,.91810346,.99784482,.58189654
2015,41B,.99137932,.96551722,.36853448
2018,42A,.64530891,.97940505,.64530891
2014,42A,.5491991,.98169339,.82837528
2015,42A,.48970252,.99084669,.77116704
2017,42A,.53546911,.98169339,.64073229
2012,42A,.36613274,1,
2016,42A,.58123571,.99313504,.72311211
2013,42A,.53318077,1,.57665902
2013,42B,.83783782,1,.70893973
2014,42B,.86486489,1,.60914761
2012,42B,.75467777,1,
2017,42B,.82120579,1,.58004159
2015,42B,.7858628,.99584198,.64864862
2016,42B,.86486489,1,.74012476
2018,42B,.93347192,1,.51351351
2012,43A,.85772359,1,
2018,43A,.91260165,.84959352,.43902439
2015,43A,.95325202,.97560978,.49796748
2014,43A,.9512195,.98983741,.40853658
2016,43A,.97357726,.90650409,.47560975
2013,43A,.92276424,1,.5711382
2017,43A,.92276424,.84552848,.34349594
2015,43B,.52307695,1,.7824176
2016,43B,.5714286,.9978022,.71868134
2013,43B,.47692308,.9978022,.40219781
2012,43B,.29450551,.9978022,
2014,43B,.40879121,.9978022,.44835165
2017,43B,.64175826,1,.30549452
2018,43B,.69010991,.9978022,.36263737
2013,44A,.50395256,1,.82806325
2015,44A,.53359681,1,.79249012
2014,44A,.55138338,1,.80830038
2012,44A,.46442688,1,
2017,44A,.33992094,1,.62252963
2018,44A,.30039525,1,.63241106
2016,44A,.31818181,1,.69367588
2016,44B,.21052632,1,.85318559
2015,44B,.33518004,1,.59556788
2012,44B,.43490306,1,
2014,44B,.33240998,1,.76177287
2017,44B,.16343491,1,.95844877
2013,44B,.40720221,1,.70914125
2018,44B,.16343491,.98337948,.90027702
2016,45A,.63829786,1,.57872343
2012,45A,.65957445,1,
2013,45A,.74042553,1,.30000001
2015,45A,.66595745,1,.46170214
2018,45A,.75744683,.91914892,.53829789
2017,45A,.6574468,1,.56382978
2014,45A,.59574467,1,.31914893
2017,45B,.93632078,1,.19339623
2015,45B,.94575471,1,.10849056
2013,45B,.95990568,1,.066037737
2018,45B,.94103771,1,.16981132
2016,45B,.93867922,1,.2264151
2014,45B,.9268868,1,.070754714
2012,45B,.93160379,1,
2018,46A,.15923567,1,.73885351
2013,46A,.56687897,1,.49044585
2016,46A,.19108281,1,.56050956
2017,46A,.1656051,1,.81740975
2014,46A,.56687897,1,.49044585
2015,46A,.43949044,1,.47983015
2012,46A,.6390658,1,
2018,46B,.17906977,1,.93720931
2016,46B,.34186047,1,.70465118
2015,46B,.48604652,1,.77906978
2017,46B,.19767442,1,.91860467
2013,46B,.67441863,1,.7860465
2012,46B,.78372091,1,
2014,46B,.54418606,1,.74186045
2017,47A,.62052876,.59097975,.13530326
2012,47A,.72472781,.58786935,
2013,47A,.72317261,.5287714,.11353032
2018,47A,.69673407,.56765163,.096423015
2016,47A,.69206846,.57076204,.11353032
2015,47A,.70451009,.57542771,.071539655
2014,47A,.71539658,.50544322,.088646971
2016,47B,.43485618,1,.65313029
2014,47B,.47038916,1,.37732658
2017,47B,.42301184,1,.66159052
2015,47B,.41455162,1,.66328257
2013,47B,.46192893,1,.47208121
2018,47B,.47715735,.97969544,.6395939
2012,47B,.45516074,1,
2012,48A,.43466666,1,
2014,48A,.28,1,.78399998
2015,48A,.26133335,1,.77066666
2017,48A,.10133334,1,.69599998
2018,48A,.088,1,.69866669
2013,48A,.39199999,1,.79466665
2016,48A,.17866667,1,.68533331
2017,48B,.48407644,.99787688,.69426751
2018,48B,.45222929,.99787688,.72823781
2012,48B,.68577492,.99787688,
2013,48B,.60297239,1,.76008493
2016,48B,.492569,.99787688,.78980893
2014,48B,.56263268,1,.77919322
2015,48B,.60297239,.99787688,.73885351
2016,49A,.52252251,1,.9009009
2013,49A,.88963962,1,.87612611
2018,49A,.41666666,1,.91441441
2014,49A,.6463964,1,.78153151
2012,49A,.77702701,1,
2015,49A,.51126128,1,.8581081
2017,49A,.4527027,1,.93018019
2016,49B,.50808316,1,.84064662
2014,49B,.57274824,1,.80600464
2015,49B,.51270211,1,.8614319
2018,49B,.51501155,1,.84526557
2013,49B,.63510394,1,.84988451
2012,49B,.63741338,1,
2017,49B,.43879908,1,.82448035
2017,4A,.30286738,0,.36200717
2016,4A,.3530466,0,.035842296
2014,4A,.27419356,0,.23476702
2013,4A,.20967741,0,.50358421
2012,4A,.22759856,0,
2015,4A,.27956989,0,.084229387
2018,4A,.32974911,0,.29569891
2012,4B,.41361257,.0069808029,
2016,4B,.4764398,.0017452007,.35427573
2018,4B,.43804538,.010471204,.35776615
2014,4B,.478185,0,.2478185
2013,4B,.42408377,0,.29668412
2015,4B,.49040139,0,.2652705
2017,4B,.45375219,0,.35951135
2016,50A,.43044189,1,.79050738
2012,50A,.68903434,1,
2018,50A,.44844517,1,.76104748
2017,50A,.30278233,1,.73977089
2014,50A,.49099836,1,.78232408
2013,50A,.73322421,1,.74468082
2015,50A,.51227498,1,.78068739
2017,50B,.66076696,1,.3038348
2012,50B,.79646015,1,
2018,50B,.86430681,1,.27433628
2014,50B,.67256635,1,.34513274
2013,50B,.71386433,1,.30973452
2016,50B,.71386433,1,.31563422
2015,50B,.70501477,1,.32743362
2012,51A,.24600001,1,
2016,51A,.28200001,1,.58600003
2014,51A,.33000001,1,.72399998
2018,51A,.20200001,1,.83600003
2017,51A,.31600001,1,.69999999
2013,51A,.30199999,1,.778
2015,51A,.28600001,1,.62400001
2018,51B,.31422505,1,.9660297
2012,51B,.10828026,1,
2017,51B,.27813163,1,.9511677
2014,51B,.23566879,1,.86411887
2015,51B,.2462845,1,.79193205
2013,51B,.17197452,1,.86411887
2016,51B,.36093417,1,.94479829
2017,52A,.40765765,.58333331,.88288289
2016,52A,.6036036,.9954955,.89864862
2015,52A,.69144142,.98873872,.83108109
2018,52A,.88738739,1,.60585588
2012,52A,.72522521,.98648649,
2014,52A,.63063061,1,.8063063
2013,52A,.89864862,1,.54054052
2017,52B,.67906976,.28139535,.59302324
2018,52B,.86744183,.66976744,.15116279
2014,52B,.84418607,.7883721,.36511627
2016,52B,.73255813,.33720931,.49534884
